,addr1,firstimage2,mapx,mapy,title
73,강원도 강릉시 운정길 125,http://tong.visitkorea.or.kr/cms/resource/39/2480139_image2_1.jpg,128.8911356052,37.7862090263,강릉 해운정
74,강원도 강릉시 주문진읍 주문리,http://tong.visitkorea.or.kr/cms/resource/23/2607523_image3_1.jpg,128.8301373977,37.9057912103,소돌아들바위공원
75,강원도 강릉시 사천면 중앙서로 557-1,http://tong.visitkorea.or.kr/cms/resource/67/2480167_image2_1.jpg,128.8109759564,37.7929261321,강릉 해살이마을
76,강원도 강릉시 연곡면 신왕길 388-1,http://tong.visitkorea.or.kr/cms/resource/05/1581305_image3_1.jpg,128.7727449903,37.8279768862,연곡 신왕리 마암터마을
77,강원 강릉시 연곡면 영진리 2-3,http://tong.visitkorea.or.kr/cms/resource/49/2494949_image2_1.jpg,128.8483980384,37.8678765152,영진항
78,강원도 강릉시 운정길21번길 27,,128.88142258,37.7865782386,황산사
79,강원도 강릉시 주문진읍 옛등대길 24-7,http://tong.visitkorea.or.kr/cms/resource/34/2659634_image3_1.jpg,128.8337873208,37.8976727775,주문진 등대
80,강원도 강릉시 주문진읍 주문로,http://tong.visitkorea.or.kr/cms/resource/43/1813643_image3_1.jpg,128.8270019814,37.8925649039,주문리마을
81,강원도 강릉시 강동면 헌화로 950-39,http://tong.visitkorea.or.kr/cms/resource/33/205833_image3_1.JPG,129.0420113165,37.6835710624,썬크루즈 테마공원
82,강원도 강릉시 운정길 125,http://tong.visitkorea.or.kr/cms/resource/30/2480130_image2_1.jpg,128.8911356052,37.7862090263,강릉 심상진가옥
83,강원도 강릉시 강동면 정동역길 17,http://tong.visitkorea.or.kr/cms/resource/34/2654534_image3_1.jpg,129.0326591356,37.6914477475,정동진해변
84,강원도 강릉시 창해로 514,http://tong.visitkorea.or.kr/cms/resource/22/2671422_image3_1.jpg,128.9074446419,37.805729308,강릉 경포해수욕장
85,강원도 강릉시 강동면 헌화로 990-1,http://tong.visitkorea.or.kr/cms/resource/49/2654549_image3_1.jpg,129.0375504951,37.687167782,모래시계공원
86,강원도 강릉시 구정면 어단리,,128.8953080497,37.6768856384,칠성산
87,강원도 강릉시 성산면 오봉서원길 28-7,http://tong.visitkorea.or.kr/cms/resource/46/191646_image3_1.jpg,128.8194360565,37.7108663466,오봉서원
88,강원도 강릉시 사천면 중앙서로 961,,128.7801427165,37.7900092041,용연사(강릉)
89,강원도 강릉시 해안로604번길 16,http://tong.visitkorea.or.kr/cms/resource/15/1581215_image3_1.jpg,128.8988285332,37.8127616594,사근진해변(사근진해수욕장)
90,강원도 강릉시 주문진읍 해안로 1609,,128.8335906768,37.8796220881,영진해변
91,강원도 강릉시 신리천로 527-3 복사꽃정보마을센타,http://tong.visitkorea.or.kr/cms/resource/46/2480146_image2_1.jpg,128.7773762919,37.8801348222,강릉 복사꽃마을
92,강원도 강릉시 옥계면 풍동로 406,http://tong.visitkorea.or.kr/cms/resource/89/2480189_image2_1.jpg,128.9916900986,37.6176360265,강릉 한울타리마을
93,강원도 강릉시 왕산면 용수길 11,http://tong.visitkorea.or.kr/cms/resource/50/2050650_image3_1.jpg,128.7785935029,37.5878658813,강릉 대기리마을
94,강원도 강릉시 옥계면 금진솔밭길 104-32,http://tong.visitkorea.or.kr/cms/resource/89/622489_image3_1.jpg,129.0480708236,37.6280637014,옥계해변
95,강원도 강릉시 연곡면 진고개로 1502,http://tong.visitkorea.or.kr/cms/resource/87/1841487_image3_1.jpg,128.7035534717,37.8455762824,소금강 장천마을
96,강원 강릉시 성산면 어흘리 삼포암길 133,http://tong.visitkorea.or.kr/cms/resource/96/598296_image3_1.jpg,128.7815478522,37.7092769061,국립 대관령자연휴양림
97,강원도 강릉시 강동면 단경로 841,http://tong.visitkorea.or.kr/cms/resource/60/205360_image3_1.JPG,128.9164479523,37.6724226769,단경골 휴양지
98,강원도 강릉시 공항길127번길 67,http://tong.visitkorea.or.kr/cms/resource/57/1581157_image3_1.jpg,128.9543805988,37.7639072853,남항진해변(남항진해수욕장)
99,강원도 강릉시 송정길30번안길 20-3,http://tong.visitkorea.or.kr/cms/resource/33/2671433_image3_1.jpg,128.93807611,37.7768693564,송정해변(송정해수욕장)
